IF1207 	20120612 	0 	1 	华泰长城 	30817 	4948 	0011 	IF 	
IF1207 	20120612 	1 	1 	国泰君安 	2820 	310 	0001 	IF 	
IF1207 	20120612 	2 	1 	国泰君安 	5523 	271 	0001 	IF 	
IF1207 	20120612 	0 	2 	国泰君安 	13765 	5429 	0001 	IF 	
IF1207 	20120612 	1 	2 	华泰长城 	1611 	251 	0011 	IF 	
IF1207 	20120612 	2 	2 	海通期货 	5018 	615 	0133 	IF 	
IF1207 	20120612 	0 	3 	海通期货 	10584 	5169 	0133 	IF 	
IF1207 	20120612 	1 	3 	海通期货 	1541 	81 	0133 	IF 	
IF1207 	20120612 	2 	3 	光大期货 	3441 	274 	0007 	IF 	
IF1207 	20120612 	0 	4 	广发期货 	8972 	3323 	0016 	IF 	
IF1207 	20120612 	1 	4 	申银万国 	1327 	433 	0131 	IF 	
IF1207 	20120612 	2 	4 	中证期货 	2401 	349 	0018 	IF 	
IF1207 	20120612 	0 	5 	申银万国 	7810 	2055 	0131 	IF 	
IF1207 	20120612 	1 	5 	南华期货 	1309 	266 	0002 	IF 	
IF1207 	20120612 	2 	5 	广发期货 	1912 	86 	0016 	IF 	
IF1207 	20120612 	0 	6 	光大期货 	7341 	1485 	0007 	IF 	
IF1207 	20120612 	1 	6 	浙江永安 	1260 	318 	0003 	IF 	
IF1207 	20120612 	2 	6 	招商期货 	1911 	447 	0136 	IF 	
IF1207 	20120612 	0 	7 	中证期货 	5982 	2711 	0018 	IF 	
IF1207 	20120612 	1 	7 	中证期货 	1229 	-3 	0018 	IF 	
IF1207 	20120612 	2 	7 	宝城期货 	954 	152 	0110 	IF 	
IF1207 	20120612 	0 	8 	南华期货 	5534 	1764 	0002 	IF 	
IF1207 	20120612 	1 	8 	银河期货 	1065 	263 	0109 	IF 	
IF1207 	20120612 	2 	8 	华泰长城 	865 	206 	0011 	IF 	
IF1207 	20120612 	0 	9 	上海东证 	5149 	3588 	0156 	IF 	
IF1207 	20120612 	1 	9 	广发期货 	1025 	86 	0016 	IF 	
IF1207 	20120612 	2 	9 	中粮期货 	758 	51 	0010 	IF 	
IF1207 	20120612 	0 	10 	银河期货 	5111 	1628 	0109 	IF 	
IF1207 	20120612 	1 	10 	金瑞期货 	920 	70 	0019 	IF 	
IF1207 	20120612 	2 	10 	申银万国 	751 	347 	0131 	IF 	
IF1207 	20120612 	0 	11 	鲁证期货 	4862 	2054 	0006 	IF 	
IF1207 	20120612 	1 	11 	光大期货 	901 	159 	0007 	IF 	
IF1207 	20120612 	2 	11 	南华期货 	658 	424 	0002 	IF 	
IF1207 	20120612 	0 	12 	招商期货 	4752 	2876 	0136 	IF 	
IF1207 	20120612 	1 	12 	东海期货 	866 	79 	0008 	IF 	
IF1207 	20120612 	2 	12 	鲁证期货 	382 	91 	0006 	IF 	
IF1207 	20120612 	0 	13 	国信期货 	3997 	1557 	0113 	IF 	
IF1207 	20120612 	1 	13 	信达期货 	848 	58 	0017 	IF 	
